"";"key";"numDMI";"Criterio"
"293";"0013a20040ebcce8";"AA0600";"sin datos 1 mes"
"294";"0013a20040ebccef";"AA0601";"sin datos 1 mes"
"295";"0013a20040ebccf4";"AA0603";"sin datos 1 mes"
"296";"0013a20040ebccf5";"AA0605";"sin datos 1 mes"
"297";"0013a20040ebccfc";"AA0607";"sin datos 1 mes"
"298";"0013a20040ebcced";"AA0608";"sin datos 1 mes"
"299";"0013a20040ebcce2";"AA0609";"sin datos 1 mes"
"300";"0013a20040ebxxxx";"AA0612";"sin datos 1 mes"
"301";"0013a20040ebaf65";"AA0614";"sin datos 1 mes"
"302";"0013a20040ebaf67";"AA0617";"sin datos 1 mes"
"303";"0013a20040ebxxxx";"AA0618";"sin datos 1 mes"
"304";"0013a20040ebaf3a";"AA0619";"sin datos 1 mes"
"305";"0013a20040ebaf56";"AA0620";"sin datos 1 mes"
"306";"0013a20040ebaf4f";"AA0622";"sin datos 1 mes"
"307";"0013a20040ebaf62";"AA0623";"sin datos 1 mes"
"308";"0013a20040ebaf63";"AA0625";"sin datos 1 mes"
"309";"0013a20040ebaf58";"AA0626";"sin datos 1 mes"
"310";"0013a20040ebaf42";"AA0627";"sin datos 1 mes"
"311";"0013a20040ebb016";"AA0631";"sin datos 1 mes"
"312";"0013a20040ebb015";"AA0632";"sin datos 1 mes"
"313";"0013a20040ebb012";"AA0634";"sin datos 1 mes"
"314";"0013a20041533147";"AA0638";"sin datos 1 mes"
"315";"0013a20040ebca1b";"AA0639";"sin datos 1 mes"
"316";"0013a20040ebae17";"AA0640";"sin datos 1 mes"
"317";"0013a20040ebca4b";"AA0641";"sin datos 1 mes"
"318";"0013a20040ebca57";"AA0643";"sin datos 1 mes"
"319";"0013a20040ebca41";"AA0646";"sin datos 1 mes"
"320";"0013a20040ebca1e";"AA0647";"sin datos 1 mes"
"321";"0013a20040ebca1c";"AA0648";"sin datos 1 mes"
"322";"0013a20040ebc8af";"AA0649";"sin datos 1 mes"
"323";"0013a20040ebca22";"AA0652";"sin datos 1 mes"
"324";"0013a20040ebca21";"AA0653";"sin datos 1 mes"
"325";"0013a20040ebc8aa";"AA0655";"sin datos 1 mes"
"326";"0013a20040ebc890";"AA0656";"sin datos 1 mes"
"327";"0013a20040ebc8b0";"AA0658";"sin datos 1 mes"
"328";"0013a20040ebc8a9";"AA0659";"sin datos 1 mes"
"329";"0013a20040ebc89f";"AA0660";"sin datos 1 mes"
"330";"0013a20040ebc8ae";"AA0662";"sin datos 1 mes"
"331";"0013a20040ebc8b2";"AA0663";"sin datos 1 mes"
"332";"0013a20040ebcc89";"AA0664";"sin datos 1 mes"
