key;numDMI;Criterio
0013a20040ebxxxx;AA0887;sin datos 1 mes
0013a20040ebccbc;AA0890;sin datos 1 mes
0013a20040ebccb0;AA0892;sin datos 1 mes
0013a20040ebccaf;AA0893;sin datos 1 mes
0013a20040ebccb1;AA0894;sin datos 1 mes
0013a20040ebccd2;AA0896;sin datos 1 mes
0013a20040ebccc2;AA0900;sin datos 1 mes
0013a20040ebccd4;AA0903;sin datos 1 mes
0013a20040ebccc7;AA0904;sin datos 1 mes
0013a20040ebccc6;AA0905;sin datos 1 mes
0013a20040ebccd9;AA0907;sin datos 1 mes
0013a20040ebadd6;AA0909;sin datos 1 mes
0013a20040ebadd8;AA0912;sin datos 1 mes
0013a20040ebadd2;AA0914;sin datos 1 mes
0013a20040ebaddb;AA0915;sin datos 1 mes
0013a20040ebadda;AA0917;sin datos 1 mes
0013a20040ebaddd;AA0919;sin datos 1 mes
0013a20040ebadfb;AA0920;sin datos 1 mes
0013a20040ebade0;AA0921;sin datos 1 mes
0013a20040ebadd4;AA0922;sin datos 1 mes
0013a20040ebade4;AA0923;sin datos 1 mes
0013a20040ebadb6;AA0926;sin datos 1 mes
0013a20040ebae00;AA0927;sin datos 1 mes
0013a20040ebade2;AA0928;sin datos 1 mes
0013a20040ebade6;AA0930;sin datos 1 mes
0013a20040ebae01;AA0931;sin datos 1 mes
0013a20040ebade7;AA0932;sin datos 1 mes
0013a20040ebacc4;AA0936;sin datos 1 mes
0013a20040ebacb7;AA0938;sin datos 1 mes
0013a20040ebacbc;AA0941;sin datos 1 mes
0013a20040ebaca4;AA0943;sin datos 1 mes
0013a20040ebaca2;AA0944;sin datos 1 mes
0013a20040ebacab;AA0946;sin datos 1 mes
0013a20040ebacc1;AA0947;sin datos 1 mes
0013a20040ebacba;AA0948;sin datos 1 mes
0013a20040ebacbb;AA0949;sin datos 1 mes
0013a20040ebaca1;AA0950;sin datos 1 mes
0013a20040ebacb5;AA0952;sin datos 1 mes
